fips,countyname,state,type,typename,death,obesity,uninsured,childpoverty,longcomute,overdose,income,nhwhite
17097,Lake County,IL,1,Exurbs,4618.199255,0.279,0.080918916,0.109,0.455,7,83344,0.62330399
17111,McHenry County,IL,1,Exurbs,4921.479139,0.293,0.059539555,0.092,0.498,7,81570,0.815393285
17197,Will County,IL,1,Exurbs,4989.716241,0.286,0.060244159,0.102,0.491,7,81640,0.642660425
18057,Hamilton County,IN,1,Exurbs,4063.699154,0.269,0.064035824,0.049,0.421,5,92406,0.841873358
18059,Hancock County,IN,1,Exurbs,6338.975431,0.339,0.075583204,0.088,0.411,8,70655,0.928618907
18063,Hendricks County,IN,1,Exurbs,5154.540762,0.318,0.076090903,0.067,0.414,5,78464,0.854075089
18081,Johnson County,IN,1,Exurbs,6212.682398,0.291,0.094833431,0.098,0.409,7,67215,0.899744707
19049,Dallas County,IA,1,Exurbs,3682.643627,0.278,0.042068373,0.055,0.224,4,82123,0.859860855
19153,Polk County,IA,1,Exurbs,6173.28757,0.295,0.057191757,0.143,0.161,6,64169,0.782672531
20091,Johnson County,KS,1,Exurbs,4423.133259,0.266,0.060615469,0.054,0.228,5,80872,0.804288127
21005,Anderson County,KY,1,Exurbs,7311.903804,0.359,0.05673113,0.153,0.381,11,57448,0.94078888
21015,Boone County,KY,1,Exurbs,6403.385678,0.328,0.050960072,0.103,0.294,10,72942,0.880585984
21029,Bullitt County,KY,1,Exurbs,7224.237476,0.357,0.051753667,0.144,0.475,7,63570,0.948086569
21081,Grant County,KY,1,Exurbs,9922.278873,0.356,0.070162131,0.22,0.543,15,49312,0.943987481
21113,Jessamine County,KY,1,Exurbs,8563.968971,0.32,0.075675052,0.212,0.425,12,55047,0.892545409
21179,Nelson County,KY,1,Exurbs,7313.599758,0.317,0.061978639,0.164,0.395,7,56239,0.904673061
21185,Oldham County,KY,1,Exurbs,4918.371816,0.28,0.042406745,0.06,0.46,5,92454,0.884365467
21209,Scott County,KY,1,Exurbs,7561.825296,0.321,0.058760001,0.138,0.279,7,64809,0.871766842
21211,Shelby County,KY,1,Exurbs,6050.598387,0.34,0.088442185,0.157,0.405,5,61700,0.804214791
21215,Spencer County,KY,1,Exurbs,6149.165209,0.353,0.059474768,0.107,0.63,7,71156,0.943362154
22005,Ascension Parish,LA,1,Exurbs,7034.452846,0.306,0.093004131,0.14,0.511,7,74212,0.689604974
22023,Cameron Parish,LA,1,Exurbs,6245.90572,0.335,0.131583522,0.188,0.426,10,52479,0.906422552
